,全て黒読み,,,,,,,,,,,,全て白読み,,,,,,,,,,,
,1587,1122,1204,1041,2304,1403,2092,2216,1702,2441,2504,2614,225,185,188,187,220,187,219,264,216,595,798,1050
,1590,1131,1208,1037,2307,1402,2093,2218,1701,2442,2499,2614,223,185,188,187,220,187,213,269,217,595,800,1048
,1587,1130,1209,1035,2298,1404,2091,2216,1698,2437,2497,2610,224,186,185,187,220,187,213,268,218,597,795,1052
,1579,1132,1206,1040,2310,1404,2087,2218,1703,2443,2506,2614,222,186,188,187,220,187,219,266,209,599,802,1053
,1592,1140,1214,1053,2310,1409,2100,2222,1706,2454,2504,2621,223,188,187,188,219,187,213,265,217,590,801,1054
,1600,1131,1207,1043,2304,1412,2085,2218,1705,2443,2503,2616,224,184,186,188,226,186,215,264,217,596,800,1052
,1585,1122,1199,1034,2298,1401,2089,2216,1697,2438,2499,2607,221,190,187,187,220,186,220,265,216,596,799,1051
,1583,1134,1205,1032,2299,1406,2096,2213,1700,2437,2500,2613,225,185,188,187,221,186,212,271,217,599,800,1052
,1594,1131,1209,1038,2295,1415,2093,2212,1702,2441,2507,2616,223,185,188,188,220,193,213,265,217,601,805,1056
,1588,1129,1207,1034,2298,1405,2098,2213,1701,2438,2503,2611,215,187,186,189,221,186,212,267,217,602,804,1058
,1589,1132,1204,1036,2307,1403,2098,2215,1698,2441,2509,2608,225,186,187,193,220,187,215,265,218,593,802,1054
,1591,1136,1209,1043,2303,1405,2091,2221,1702,2447,2502,2620,226,185,187,188,220,187,214,267,217,596,791,1051
,1601,1138,1224,1049,2315,1406,2096,2218,1707,2448,2511,2619,224,185,187,187,219,187,218,265,218,595,798,1049
,1593,1134,1216,1041,2307,1411,2091,2217,1702,2437,2505,2615,224,191,188,187,220,185,213,270,218,596,798,1050
,1583,1132,1203,1032,2303,1404,2091,2220,1701,2436,2504,2608,226,184,186,188,220,186,212,265,217,598,799,1052
,1594,1129,1206,1037,2300,1412,2089,2218,1701,2443,2507,2613,225,186,186,194,226,186,212,266,218,599,800,1055
,1588,1128,1203,1044,2305,1402,2094,2216,1700,2446,2504,2607,227,184,187,189,220,186,212,265,216,599,798,1052
,1585,1139,1198,1038,2301,1405,2089,2222,1699,2441,2499,2613,226,184,186,189,219,185,212,265,217,596,798,1042
,1595,1133,1210,1043,2310,1407,2090,2220,1704,2444,2503,2614,224,186,188,187,225,187,212,257,217,598,798,1053
,1598,1141,1213,1054,2304,1407,2094,2224,1705,2454,2505,2619,220,187,192,188,221,187,213,265,216,599,801,1058
,1585,1131,1203,1032,2304,1403,2091,2220,1699,2439,2504,2608,225,186,187,178,226,188,215,264,210,600,804,1060
,1586,1126,1201,1027,2301,1410,2092,2216,1703,2439,2502,2608,224,186,187,193,220,185,213,267,218,604,805,1057
,1586,1133,1206,1040,2300,1406,2089,2219,1697,2442,2501,2614,227,184,187,189,220,186,213,265,218,597,797,1048
,1585,1128,1203,1024,2298,1411,2093,2211,1699,2438,2498,2609,225,185,186,188,219,186,213,265,216,597,795,1052
,1588,1134,1203,1036,2300,1405,2099,2215,1699,2435,2506,2612,224,192,187,188,227,186,219,265,219,597,797,1050
,1593,1136,1214,1052,2303,1408,2091,2227,1704,2448,2507,2618,230,186,179,188,219,193,214,265,217,597,806,1053
,1596,1134,1212,1049,2307,1406,2090,2221,1708,2439,2510,2614,226,185,187,187,222,187,220,267,217,597,801,1054
,1585,1126,1202,1034,2298,1402,2086,2214,1700,2437,2504,2604,226,191,188,187,226,186,218,265,218,597,802,1050
,1583,1127,1203,1036,2295,1403,2087,2214,1701,2435,2501,2607,224,185,186,187,220,187,212,267,220,597,798,1047
,1587,1128,1207,1040,2308,1405,2093,2218,1694,2442,2504,2613,223,186,194,188,227,186,213,265,218,597,801,1056
,1584,1124,1202,1035,2300,1403,2095,2214,1699,2440,2503,2607,224,186,193,188,227,186,213,265,217,599,805,1058
,1585,1121,1202,1034,2297,1403,2092,2220,1702,2440,2504,2610,227,192,188,187,227,186,212,272,218,602,800,1058
,1575,1128,1206,1040,2304,1411,2095,2218,1704,2442,2508,2611,231,183,187,188,210,192,213,265,217,601,806,1055
,1590,1134,1211,1046,2305,1407,2094,2221,1706,2445,2507,2617,224,187,188,194,220,186,214,265,216,600,789,1050
,1578,1116,1203,1034,2296,1405,2093,2211,1703,2437,2506,2611,224,191,192,187,226,186,213,269,217,594,797,1048
,1576,1121,1196,1027,2288,1401,2092,2213,1700,2434,2503,2607,222,186,186,192,226,186,213,266,212,598,797,1052
,1579,1122,1206,1036,2298,1403,2097,2217,1701,2440,2506,2612,224,187,186,194,220,186,214,265,218,602,801,1046
,1578,1126,1202,1032,2304,1404,2087,2225,1702,2440,2504,2610,225,192,188,188,227,188,216,270,218,597,800,1052
,1573,1118,1196,1032,2294,1401,2092,2214,1699,2438,2498,2612,224,185,186,188,221,193,214,264,218,596,797,1051
,1574,1124,1199,1042,2302,1405,2091,2218,1703,2444,2500,2618,224,187,187,188,220,178,214,264,218,592,800,1054
,1589,1130,1211,1044,2307,1404,2093,2218,1705,2447,2510,2616,224,180,187,189,220,192,215,264,217,602,803,1056
,1585,1130,1212,1042,2299,1405,2096,2216,1706,2443,2510,2616,226,186,188,188,220,187,218,265,217,602,804,1061
,1569,1121,1194,1028,2303,1401,2079,2211,1699,2439,2502,2610,225,186,188,191,220,187,217,270,218,599,802,1056
,1575,1122,1206,1032,2295,1402,2090,2204,1698,2437,2499,2612,224,185,187,187,224,187,212,267,217,593,797,1049
,1576,1126,1202,1034,2304,1407,2089,2218,1700,2445,2501,2617,224,185,188,187,220,188,219,265,218,595,796,1048
,1574,1122,1196,1040,2304,1404,2087,2218,1698,2446,2501,2616,223,188,186,188,219,178,213,264,217,598,799,1052
,1576,1122,1201,1036,2296,1398,2089,2214,1700,2442,2503,2612,227,186,186,192,227,187,215,265,217,593,800,1054
,1585,1130,1205,1043,2298,1407,2092,2218,1701,2448,2504,2616,226,185,188,188,220,186,219,265,216,599,798,1054
,1589,1140,1213,1044,2313,1395,2102,2217,1704,2445,2512,2617,225,185,188,187,221,186,213,270,218,592,798,1053
,1582,1117,1200,1030,2294,1408,2092,2216,1700,2439,2506,2610,227,184,186,187,219,193,213,264,219,600,800,1051
,1574,1120,1197,1030,2296,1404,2095,2212,1697,2439,2502,2603,224,185,186,188,221,186,212,267,217,600,803,1056
,1580,1131,1203,1040,2306,1410,2097,2213,1701,2441,2510,2612,225,186,181,189,220,187,215,265,217,602,804,1060
,1577,1120,1200,1033,2296,1404,2090,2213,1700,2440,2504,2610,226,185,187,187,220,176,213,268,217,599,803,1058
,1576,1124,1204,1033,2299,1403,2090,2216,1696,2441,2504,2615,224,186,188,188,220,188,218,265,218,595,796,1053
,1583,1120,1222,1041,2309,1405,2094,2215,1702,2444,2507,2615,225,191,188,188,221,186,213,270,220,598,798,1048
,1591,1137,1215,1044,2312,1406,2094,2224,1712,2444,2516,2616,225,178,187,188,220,186,212,264,217,597,799,1052
,1582,1118,1197,1033,2296,1409,2089,2211,1697,2442,2505,2608,223,185,186,193,231,187,213,266,218,599,800,1053
,1572,1121,1196,1039,2296,1394,2091,2216,1699,2444,2501,2611,226,185,190,188,218,186,212,266,218,596,799,1050
,1581,1133,1204,1037,2307,1404,2088,2224,1699,2446,2502,2616,225,183,186,189,220,185,206,265,217,597,797,1050
,1574,1121,1198,1031,2301,1402,2090,2214,1699,2438,2504,2612,223,186,187,187,224,187,213,261,216,589,795,1050
,1580,1121,1194,1040,2300,1402,2094,2213,1706,2444,2509,2611,214,187,193,188,221,187,213,264,216,599,800,1054
,1591,1139,1213,1044,2312,1407,2095,2224,1708,2446,2509,2618,224,182,186,188,226,186,215,265,217,602,804,1057
,1583,1128,1201,1039,2301,1412,2094,2216,1708,2441,2510,2608,224,184,185,193,226,187,212,266,217,604,804,1058
,1571,1120,1195,1030,2295,1400,2088,2214,1697,2440,2497,2616,225,185,187,189,219,187,212,267,216,596,798,1052
,1581,1125,1201,1035,2303,1409,2085,2218,1701,2440,2506,2611,226,184,187,188,220,186,213,264,216,595,794,1050
,1578,1122,1200,1034,2296,1404,2098,2214,1700,2443,2506,2613,224,192,186,187,226,186,218,264,216,597,799,1049
,1576,1122,1191,1038,2300,1402,2090,2221,1702,2434,2506,2610,230,184,187,188,219,193,214,265,217,598,804,1053
,1588,1130,1207,1041,2303,1407,2090,2220,1706,2445,2510,2616,226,189,187,187,219,187,218,266,217,596,804,1050
,1588,1132,1209,1042,2303,1407,2099,2219,1707,2443,2510,2616,224,196,187,187,227,186,218,265,217,597,802,1050
,1569,1121,1196,1028,2293,1403,2090,2211,1697,2438,2501,2606,215,185,187,188,220,187,205,267,218,597,800,1051
,1575,1124,1199,1024,2302,1405,2093,2210,1696,2440,2502,2613,223,179,193,187,228,185,212,266,217,598,801,1057
,1581,1124,1203,1034,2298,1405,2098,2212,1703,2439,2507,2612,225,186,193,188,226,186,213,265,216,599,805,1058
,1573,1122,1199,1030,2297,1400,2091,2214,1704,2438,2504,2610,227,192,188,192,227,186,212,270,217,598,802,1054
,1584,1128,1205,1040,2304,1411,2093,2216,1704,2442,2503,2614,230,184,186,188,219,193,212,265,217,593,799,1050
,1588,1134,1211,1047,2307,1404,2096,2215,1706,2448,2499,2620,224,187,186,193,220,186,214,265,216,600,799,1050
,1572,1119,1195,1031,2294,1402,2093,2211,1698,2438,2500,2609,225,196,188,188,226,186,213,271,218,590,801,1052
,1578,1121,1199,1034,2295,1403,2090,2212,1697,2440,2502,2612,223,186,187,187,224,187,212,267,216,596,796,1054
,1578,1124,1202,1034,2302,1405,2095,2219,1700,2443,2502,2614,225,187,186,194,220,192,214,264,218,600,797,1050
,1575,1129,1199,1034,2293,1403,2087,2224,1698,2438,2501,2612,225,192,179,187,230,187,212,270,217,596,801,1050
,1585,1128,1205,1042,2302,1404,2087,2219,1703,2448,2505,2616,225,185,186,189,220,193,214,265,217,598,803,1056
,1590,1134,1210,1049,2312,1409,2091,2219,1708,2444,2511,2616,226,187,186,188,220,187,214,265,218,596,801,1056
,1561,1118,1198,1031,2294,1390,2089,2210,1698,2437,2499,2612,224,186,187,184,221,193,215,265,216,594,794,1048
,1577,1122,1201,1033,2294,1395,2089,2214,1701,2440,2503,2616,225,184,188,188,219,186,218,263,216,597,797,1048
,1578,1123,1200,1033,2304,1406,2089,2215,1701,2448,2500,2614,224,186,188,186,221,186,213,271,217,597,804,1052
,1576,1123,1206,1032,2298,1402,2090,2212,1699,2437,2504,2612,225,186,186,188,220,187,212,267,218,597,798,1050
,1588,1130,1207,1039,2308,1405,2093,2210,1703,2445,2508,2617,224,185,188,188,220,187,219,265,218,594,798,1048
,1588,1136,1211,1050,2312,1397,2093,2216,1707,2450,2508,2621,222,188,187,188,219,187,213,264,218,594,800,1051
,1569,1115,1196,1030,2296,1405,2087,2214,1700,2437,2502,2608,223,186,187,193,226,179,215,264,217,600,802,1056
,1573,1122,1199,1034,2297,1401,2092,2218,1697,2443,2501,2614,232,186,189,178,220,186,219,266,217,601,806,1057
,1580,1131,1199,1034,2306,1403,2098,2213,1700,2441,2505,2612,226,185,188,188,220,187,213,270,218,596,797,1051
,1582,1119,1197,1036,2297,1409,2089,2216,1698,2441,2510,2611,225,186,192,188,218,193,214,265,217,592,797,1048
,1586,1129,1205,1040,2301,1405,2098,2217,1701,2443,2513,2616,225,186,186,189,220,188,206,266,217,594,797,1048
,1589,1138,1209,1042,2313,1399,2096,2224,1704,2449,2516,2618,226,186,190,189,220,187,215,264,217,597,798,1053
,1573,1120,1193,1030,2296,1401,2086,2217,1698,2441,2499,2612,225,184,189,187,220,187,213,266,217,595,798,1049
,1580,1125,1208,1033,2305,1402,2091,2212,1699,2439,2502,2614,225,185,188,187,220,187,217,266,217,595,797,1048
,1576,1122,1208,1033,2303,1401,2094,2213,1702,2436,2505,2608,224,192,188,187,220,186,213,270,217,596,801,1053
